,start_timestamp,frame,actual_timestamp,area,probability
6324,1573488089,1708,1573488202,331415,0.9499713778495789
6334,1573488209,232,1573488224,184569,0.9501829147338867
6341,1573488209,590,1573488248,89148,0.9266951680183411
6346,1573304630,176,1573304641,26125,0.7246465086936951
6367,1573482693,694,1573482739,204498,0.9918727874755859
6381,1573482796,94,1573482802,116314,0.9703530669212341
6394,1574010772,910,1574010832,248031,0.9949936270713806
6412,1574010772,1638,1574010881,27200,0.7132971286773682
6432,1573479639,246,1573479655,124236,0.7119222283363342
21828,1573652370,1534,1573652472,184041,0.9932714700698853
6458,1573652476,866,1573652533,81840,0.947318434715271
6476,1573652181,280,1573652199,180225,0.9954068064689636
6486,1573652181,994,1573652247,221535,0.9959098696708679
6518,1574253795,482,1574253827,298530,0.9937099814414978
6531,1574253795,870,1574253853,304624,0.997553825378418
6549,1573482419,134,1573482427,180576,0.8509633541107178
6558,1573482419,386,1573482444,167320,0.9972497820854187
6566,1573482419,820,1573482473,119097,0.9268544912338257
6571,1573482419,990,1573482485,75896,0.884326696395874
6576,1574253581,82,1574253586,169839,0.9958697557449341
6580,1574253581,158,1574253591,90420,0.9575926661491394
6595,1574253318,56,1574253321,147518,0.9697374105453491
6609,1574253318,522,1574253352,141696,0.9819924831390381
6611,1574253318,526,1574253353,205668,0.9812113046646118
6618,1574253318,540,1574253354,140996,0.9672627449035645
6633,1574253318,714,1574253365,113883,0.9562119245529175
6646,1573483276,882,1573483334,68706,0.8744605183601379
6650,1573483276,1076,1573483347,180139,0.9379201531410217
6654,1573473246,60,1573473250,166116,0.9917305111885071
6708,1573573133,926,1573573194,303548,0.9810869693756104
6715,1574012157,668,1574012201,132880,0.8100726008415222
6734,1573563574,714,1573563621,331240,0.9984008073806763
6758,1573845290,86,1573845295,99415,0.910978376865387
6762,1573845290,728,1573845338,156465,0.9847468733787537
6769,1573845290,1154,1573845366,195702,0.7834194898605347
6775,1573847301,48,1573847304,223590,0.9980232119560242
